Position,Driver,Constructor,Points,Wins
1,Niki Lauda,Ferrari,48,4
2,Clay Regazzoni,Ferrari,15,1
3,James Hunt,McLaren,15,1
4,Patrick Depailler,Tyrrell,14,0
5,Jody Scheckter,Tyrrell,14,0
6,Jochen Mass,McLaren,10,0
7,Jacques Laffite,Ligier,7,0
8,Hans-Joachim Stuck,March,6,0
9,Tom Pryce,Shadow,4,0
10,Gunnar Nilsson,Team Lotus,4,0
11,Carlos Reutemann,Brabham-Alfa Romeo,3,0
12,John Watson,Penske,2,0
13,Chris Amon,Ensign,2,0
14,Alan Jones,Surtees,2,0
15,Emerson Fittipaldi,Fittipaldi,2,0
16,Carlos Pace,Brabham-Alfa Romeo,1,0
17,Mario Andretti,Team Lotus,1,0
18,Jean-Pierre Jarier,Shadow,0,0
19,Jacky Ickx,Wolf,0,0
20,Larry Perkins,Boro,0,0
21,Vittorio Brambilla,March,0,0
22,Renzo Zorzi,Williams,0,0
23,Michel Leclère,Wolf,0,0
24,Ronnie Peterson,Team Lotus,0,0
25,Bob Evans,Team Lotus,0,0
26,Brett Lunger,Surtees,0,0
27,Ingo Hoffmann,Fittipaldi,0,0
28,Loris Kessel,Brabham-Ford,0,0
29,Lella Lombardi,March,0,0
30,Harald Ertl,Hesketh,0,0
