Position,Driver,Constructor,Points,Wins
1,Nelson Piquet,Williams,63,3
2,Ayrton Senna,Team Lotus,49,2
3,Nigel Mansell,Williams,43,4
4,Alain Prost,McLaren,31,2
5,Stefan Johansson,McLaren,20,0
6,Gerhard Berger,Ferrari,12,0
7,Thierry Boutsen,Benetton,10,0
8,Michele Alboreto,Ferrari,8,0
9,Teo Fabi,Benetton,7,0
10,Satoru Nakajima,Team Lotus,6,0
11,Andrea de Cesaris,Brabham,4,0
12,Philippe Streiff,Tyrrell,4,0
13,Eddie Cheever,Arrows,4,0
14,Jonathan Palmer,Tyrrell,4,0
15,Derek Warwick,Arrows,3,0
16,Martin Brundle,Zakspeed,2,0
17,Riccardo Patrese,Brabham,2,0
18,Philippe Alliot,Larrousse,1,0
19,René Arnoux,Ligier,1,0
20,Ivan Capelli,March,1,0
21,Piercarlo Ghinzani,Ligier,0,0
22,Christian Danner,Zakspeed,0,0
23,Pascal Fabre,AGS,0,0
24,Alessandro Nannini,Minardi,0,0
25,Alex Caffi,Osella,0,0
26,Adrián Campos,Minardi,0,0
27,Gabriele Tarquini,Osella,0,0
28,Franco Forini,Osella,0,0
29,Nicola Larini,Coloni,0,0
