Position,Driver,Constructor,Points,Wins
1,Juan Fangio,Ferrari,22.5,2
2,Peter Collins,Ferrari,22,2
3,Jean Behra,Maserati,18,0
4,Stirling Moss,Maserati,13,1
5,Pat Flaherty,Watson,8,1
6,Eugenio Castellotti,Ferrari,7.5,0
7,Paul Frère,Ferrari,6,0
8,Sam Hanks,Kurtis Kraft,6,0
9,Luigi Musso,Ferrari,4,1
10,Mike Hawthorn,Maserati,4,0
11,Don Freeland,Phillips,4,0
12,Alfonso de Portago,Ferrari,3,0
13,Cesare Perdisa,Maserati,3,0
14,Harry Schell,Vanwall,3,0
15,Jack Fairman,Connaught,3,0
16,Johnnie Parsons,Kurtis Kraft,3,0
17,Luigi Villoresi,Maserati,2,0
18,Hernando da Silva Ramos,Gordini,2,0
19,Horace Gould,Maserati,2,0
20,Olivier Gendebien,Ferrari,2,0
21,Dick Rathmann,Kurtis Kraft,2,0
22,Gerino Gerini,Maserati,1.5,0
23,Chico Landi,Maserati,1.5,0
24,Paul Russo,Kurtis Kraft,1,0
25,André Pilette,Ferrari,0,0
26,Louis Rosier,Maserati,0,0
27,Élie Bayol,Gordini,0,0
28,Óscar González,Maserati,0,0
29,Bob Sweikert,Kuzma,0,0
30,Alberto Uria,Maserati,0,0
