Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Ferrari,36,3
2,David Coulthard,McLaren,28,1
3,Rubens Barrichello,Ferrari,14,0
4,Ralf Schumacher,Williams,12,1
5,Nick Heidfeld,Sauber,8,0
6,Jarno Trulli,Jordan,7,0
7,Juan Pablo Montoya,Williams,6,0
8,Heinz-Harald Frentzen,Jordan,6,0
9,Jacques Villeneuve,BAR,4,0
10,Mika Häkkinen,McLaren,4,0
11,Olivier Panis,BAR,3,0
12,Kimi Räikkönen,Sauber,1,0
13,Giancarlo Fisichella,Benetton,1,0
14,Jos Verstappen,Arrows,0,0
15,Jean Alesi,Prost,0,0
16,Luciano Burti,Jaguar,0,0
17,Tarso Marques,Minardi,0,0
18,Jenson Button,Benetton,0,0
19,Enrique Bernoldi,Arrows,0,0
20,Eddie Irvine,Jaguar,0,0
21,Fernando Alonso,Minardi,0,0
22,Gastón Mazzacane,Prost,0,0
