Position,Driver,Constructor,Points,Wins
1,Niki Lauda,Ferrari,69,3
2,Jody Scheckter,Wolf,42,2
3,Mario Andretti,Team Lotus,41,4
4,Carlos Reutemann,Ferrari,35,1
5,James Hunt,McLaren,22,1
6,Jochen Mass,McLaren,21,0
7,Gunnar Nilsson,Team Lotus,20,1
8,Jacques Laffite,Ligier,16,1
9,Alan Jones,Shadow,16,1
10,Hans-Joachim Stuck,March,12,0
11,Emerson Fittipaldi,Fittipaldi,11,0
12,Patrick Depailler,Tyrrell,10,0
13,John Watson,Brabham,9,0
14,Ronnie Peterson,Tyrrell,7,0
15,Carlos Pace,Brabham,6,0
16,Vittorio Brambilla,Surtees,5,0
17,Clay Regazzoni,Ensign,3,0
18,Patrick Tambay,Surtees,3,0
19,Jean-Pierre Jarier,Penske,1,0
20,Renzo Zorzi,Shadow,1,0
21,Patrick Nève,March,0,0
22,Rupert Keegan,Hesketh,0,0
23,Vern Schuppan,Surtees,0,0
24,Ingo Hoffmann,Fittipaldi,0,0
25,Hans Binder,Surtees,0,0
26,Alex Ribeiro,March,0,0
27,Brett Lunger,March,0,0
28,Riccardo Patrese,Shadow,0,0
29,Harald Ertl,Hesketh,0,0
30,Jackie Oliver,Shadow,0,0
