Position,Driver,Constructor,Points,Wins
1,Niki Lauda,Ferrari,38,3
2,Carlos Reutemann,Brabham,25,0
3,Emerson Fittipaldi,McLaren,21,1
4,Carlos Pace,Brabham,18,1
5,James Hunt,Hesketh,16,1
6,Clay Regazzoni,Ferrari,16,0
7,Jody Scheckter,Tyrrell,15,1
8,Patrick Depailler,Tyrrell,11,0
9,Jochen Mass,McLaren,10.5,1
10,Jacky Ickx,Team Lotus,3,0
11,Mario Andretti,Parnelli,3,0
12,Ronnie Peterson,Team Lotus,3,0
13,Mark Donohue,Penske,2,0
14,Tom Pryce,Shadow-Ford,2,0
15,Jean-Pierre Jarier,Shadow-Ford,1.5,0
16,Vittorio Brambilla,March,1,0
17,Tony Brise,Williams,1,0
18,Lella Lombardi,March,0.5,0
19,Rolf Stommelen,Lola,0,0
20,John Watson,Surtees,0,0
21,Bob Evans,BRM,0,0
22,Graham Hill,Lola,0,0
23,Torsten Palm,Hesketh,0,0
24,Gijs van Lennep,Ensign,0,0
25,Wilson Fittipaldi,Fittipaldi,0,0
26,Alan Jones,Hesketh,0,0
27,Jacques Laffite,Williams,0,0
28,Guy Tunmer,Team Lotus,0,0
29,Ian Scheckter,Tyrrell,0,0
30,Eddie Keizan,Team Lotus,0,0
