Position,Driver,Constructor,Points,Wins
1,Jackie Stewart,Matra-Ford,60,6
2,Jacky Ickx,Brabham-Ford,31,2
3,Bruce McLaren,McLaren-Ford,26,0
4,Jochen Rindt,Lotus-Ford,22,1
5,Graham Hill,Lotus-Ford,19,1
6,Jean-Pierre Beltoise,Matra-Ford,19,0
7,Piers Courage,Brabham-Ford,16,0
8,Jo Siffert,Lotus-Ford,15,0
9,Denny Hulme,McLaren-Ford,11,0
10,Jack Brabham,Brabham-Ford,10,0
11,John Surtees,BRM,6,0
12,Chris Amon,Ferrari,4,0
13,Richard Attwood,Lotus-Ford,3,0
14,Vic Elford,Cooper-Maserati,3,0
15,Pedro Rodríguez,BRM,3,0
16,Silvio Moser,Brabham-Ford,1,0
17,Johnny Servoz-Gavin,Matra-Ford,1,0
18,Jackie Oliver,BRM,0,0
19,Pete Lovely,Lotus-Ford,0,0
20,Sam Tingle,Brabham-Repco,0,0
21,John Miles,Lotus-Ford,0,0
22,Bill Brack,BRM,0,0
23,Peter de Klerk,Brabham-Repco,0,0
24,Jo Bonnier,Lotus-Ford,0,0
25,George Eaton,BRM,0,0
26,Mario Andretti,Lotus-Ford,0,0
27,Derek Bell,McLaren-Ford,0,0
28,John Love,Lotus-Ford,0,0
29,John Cordts,Brabham-Climax,0,0
30,Basil van Rooyen,McLaren-Ford,0,0
