Position,Driver,Constructor,Points,Wins
1,Mario Andretti,Team Lotus,45,4
2,Ronnie Peterson,Team Lotus,36,1
3,Carlos Reutemann,Ferrari,31,3
4,Niki Lauda,Brabham,31,1
5,Patrick Depailler,Tyrrell,26,1
6,John Watson,Brabham,16,0
7,Jacques Laffite,Ligier,10,0
8,Riccardo Patrese,Arrows,8,0
9,James Hunt,McLaren,8,0
10,Jody Scheckter,Wolf,8,0
11,Emerson Fittipaldi,Fittipaldi,7,0
12,Alan Jones,Williams,5,0
13,Patrick Tambay,McLaren,5,0
14,Didier Pironi,Tyrrell,5,0
15,Clay Regazzoni,Shadow,4,0
16,Gilles Villeneuve,Ferrari,3,0
17,Hans-Joachim Stuck,Shadow,2,0
18,Brett Lunger,McLaren,0,0
19,Bruno Giacomelli,McLaren,0,0
20,Jochen Mass,ATS,0,0
21,Vittorio Brambilla,Surtees,0,0
22,Jean-Pierre Jarier,ATS,0,0
23,Rolf Stommelen,Arrows,0,0
24,René Arnoux,Martini,0,0
25,Hector Rebaque,Team Lotus,0,0
26,Jean-Pierre Jabouille,Renault,0,0
27,Rupert Keegan,Surtees,0,0
28,Jacky Ickx,Ensign,0,0
29,Keke Rosberg,Theodore,0,0
30,Arturo Merzario,Merzario,0,0
