Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,169,4
2,Nico Rosberg,Mercedes,159,3
3,Sebastian Vettel,Ferrari,120,1
4,Kimi Räikkönen,Ferrari,72,0
5,Valtteri Bottas,Williams,67,0
6,Felipe Massa,Williams,62,0
7,Daniel Ricciardo,Red Bull,36,0
8,Daniil Kvyat,Red Bull,19,0
9,Nico Hülkenberg,Force India,18,0
10,Romain Grosjean,Lotus F1,17,0
11,Felipe Nasr,Sauber,16,0
12,Sergio Pérez,Force India,13,0
13,Pastor Maldonado,Lotus F1,12,0
14,Max Verstappen,Toro Rosso,10,0
15,Carlos Sainz,Toro Rosso,9,0
16,Marcus Ericsson,Sauber,5,0
17,Jenson Button,McLaren,4,0
18,Fernando Alonso,McLaren,0,0
19,Roberto Merhi,Manor Marussia,0,0
20,Will Stevens,Manor Marussia,0,0
21,Kevin Magnussen,McLaren,0,0
