Position,Driver,Constructor,Points,Wins
1,Carlos Reutemann,Ferrari,18,2
2,Mario Andretti,Team Lotus,18,1
3,Ronnie Peterson,Team Lotus,14,1
4,Patrick Depailler,Tyrrell,14,0
5,Niki Lauda,Brabham,10,0
6,Emerson Fittipaldi,Fittipaldi,6,0
7,John Watson,Brabham,4,0
8,Jacques Laffite,Ligier,4,0
9,Alan Jones,Williams,3,0
10,James Hunt,McLaren,3,0
11,Clay Regazzoni,Shadow,2,0
12,Didier Pironi,Tyrrell,2,0
13,Riccardo Patrese,Arrows,1,0
14,Patrick Tambay,McLaren,1,0
15,Jochen Mass,ATS,0,0
16,Jean-Pierre Jarier,ATS,0,0
17,Gilles Villeneuve,Ferrari,0,0
18,Rolf Stommelen,Arrows,0,0
19,Hector Rebaque,Team Lotus,0,0
20,Jody Scheckter,Wolf,0,0
21,Brett Lunger,McLaren,0,0
22,Vittorio Brambilla,Surtees,0,0
23,Hans-Joachim Stuck,Shadow,0,0
24,Jean-Pierre Jabouille,Renault,0,0
25,Arturo Merzario,Merzario,0,0
26,Danny Ongais,Ensign,0,0
27,Rupert Keegan,Surtees,0,0
28,Lamberto Leoni,Ensign,0,0
29,Keke Rosberg,Theodore,0,0
30,Eddie Cheever,Theodore,0,0
