Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,266,8
2,Nico Rosberg,Mercedes,256,4
3,Daniel Ricciardo,Red Bull,193,3
4,Sebastian Vettel,Red Bull,139,0
5,Fernando Alonso,Ferrari,133,0
6,Valtteri Bottas,Williams,130,0
7,Jenson Button,McLaren,82,0
8,Nico Hülkenberg,Force India,76,0
9,Felipe Massa,Williams,71,0
10,Sergio Pérez,Force India,46,0
11,Kimi Räikkönen,Ferrari,45,0
12,Kevin Magnussen,McLaren,39,0
13,Jean-Éric Vergne,Toro Rosso,21,0
14,Romain Grosjean,Lotus F1,8,0
15,Daniil Kvyat,Toro Rosso,8,0
16,Jules Bianchi,Marussia,2,0
17,Adrian Sutil,Sauber,0,0
18,Marcus Ericsson,Caterham,0,0
19,Pastor Maldonado,Lotus F1,0,0
20,Esteban Gutiérrez,Sauber,0,0
21,Max Chilton,Marussia,0,0
22,Kamui Kobayashi,Caterham,0,0
23,André Lotterer,Caterham,0,0
