Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,238,6
2,Sebastian Vettel,Ferrari,235,4
3,Valtteri Bottas,Mercedes,197,2
4,Daniel Ricciardo,Red Bull,144,1
5,Kimi Räikkönen,Ferrari,138,0
6,Max Verstappen,Red Bull,68,0
7,Sergio Pérez,Force India,58,0
8,Esteban Ocon,Force India,55,0
9,Carlos Sainz,Toro Rosso,36,0
10,Nico Hülkenberg,Renault,34,0
11,Felipe Massa,Williams,31,0
12,Lance Stroll,Williams,24,0
13,Romain Grosjean,Haas F1 Team,24,0
14,Kevin Magnussen,Haas F1 Team,11,0
15,Fernando Alonso,McLaren,10,0
16,Pascal Wehrlein,Sauber,5,0
17,Daniil Kvyat,Toro Rosso,4,0
18,Stoffel Vandoorne,McLaren,1,0
19,Jolyon Palmer,Renault,0,0
20,Marcus Ericsson,Sauber,0,0
21,Antonio Giovinazzi,Sauber,0,0
22,Jenson Button,McLaren,0,0
23,Paul di Resta,Williams,0,0
