Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Ferrari,76,6
2,Ralf Schumacher,Williams,30,1
3,Juan Pablo Montoya,Williams,27,0
4,Rubens Barrichello,Ferrari,26,1
5,David Coulthard,McLaren,26,1
6,Kimi Räikkönen,McLaren,11,0
7,Jenson Button,Renault,10,0
8,Giancarlo Fisichella,Jordan,6,0
9,Nick Heidfeld,Sauber,5,0
10,Jarno Trulli,Renault,4,0
11,Felipe Massa,Sauber,4,0
12,Eddie Irvine,Jaguar,3,0
13,Mark Webber,Minardi,2,0
14,Mika Salo,Toyota,2,0
15,Heinz-Harald Frentzen,Arrows,2,0
16,Jacques Villeneuve,BAR,0,0
17,Allan McNish,Toyota,0,0
18,Alex Yoong,Minardi,0,0
19,Pedro de la Rosa,Jaguar,0,0
20,Olivier Panis,BAR,0,0
21,Takuma Sato,Jordan,0,0
22,Enrique Bernoldi,Arrows,0,0
