Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,277,8
2,Nico Rosberg,Mercedes,229,3
3,Sebastian Vettel,Ferrari,218,3
4,Kimi Räikkönen,Ferrari,119,0
5,Valtteri Bottas,Williams,111,0
6,Felipe Massa,Williams,97,0
7,Daniel Ricciardo,Red Bull,73,0
8,Daniil Kvyat,Red Bull,66,0
9,Romain Grosjean,Lotus F1,44,0
10,Sergio Pérez,Force India,39,0
11,Nico Hülkenberg,Force India,38,0
12,Max Verstappen,Toro Rosso,32,0
13,Felipe Nasr,Sauber,17,0
14,Pastor Maldonado,Lotus F1,16,0
15,Carlos Sainz,Toro Rosso,12,0
16,Fernando Alonso,McLaren,11,0
17,Marcus Ericsson,Sauber,9,0
18,Jenson Button,McLaren,6,0
19,Roberto Merhi,Manor Marussia,0,0
20,Will Stevens,Manor Marussia,0,0
21,Alexander Rossi,Manor Marussia,0,0
22,Kevin Magnussen,McLaren,0,0
