Position,Driver,Constructor,Points,Wins
1,Niki Lauda,Ferrari,36,2
2,Clay Regazzoni,Ferrari,32,0
3,Emerson Fittipaldi,McLaren,31,2
4,Jody Scheckter,Tyrrell,26,1
5,Ronnie Peterson,Team Lotus,19,2
6,Denny Hulme,McLaren,12,1
7,Mike Hailwood,McLaren,12,0
8,Patrick Depailler,Tyrrell,11,0
9,Jean-Pierre Beltoise,BRM,10,0
10,Carlos Reutemann,Brabham,9,1
11,Jacky Ickx,Team Lotus,6,0
12,Jean-Pierre Jarier,Shadow,6,0
13,Hans-Joachim Stuck,March,5,0
14,James Hunt,March,4,0
15,Carlos Pace,Surtees,3,0
16,Graham Hill,Lola,1,0
17,John Watson,Brabham,1,0
18,Arturo Merzario,Iso Marlboro,1,0
19,Guy Edwards,Lola,0,0
20,Brian Redman,Shadow,0,0
21,Howden Ganley,March,0,0
22,Tom Belsø,Iso Marlboro,0,0
23,Rikky von Opel,Brabham,0,0
24,Vittorio Brambilla,March,0,0
25,Henri Pescarolo,BRM,0,0
26,Tim Schenken,Trojan,0,0
27,Ian Scheckter,Team Lotus,0,0
28,François Migault,BRM,0,0
29,Gijs van Lennep,Iso Marlboro,0,0
30,Eddie Keizan,Tyrrell,0,0
