Position,Driver,Constructor,Points,Wins
1,Mario Andretti,Team Lotus,36,3
2,Ronnie Peterson,Team Lotus,30,1
3,Niki Lauda,Brabham,25,1
4,Patrick Depailler,Tyrrell,23,1
5,Carlos Reutemann,Ferrari,22,2
6,Jacques Laffite,Ligier,10,0
7,John Watson,Brabham,9,0
8,Riccardo Patrese,Arrows,8,0
9,Emerson Fittipaldi,Fittipaldi,7,0
10,Jody Scheckter,Wolf,7,0
11,Didier Pironi,Tyrrell,5,0
12,Patrick Tambay,McLaren,4,0
13,James Hunt,McLaren,4,0
14,Clay Regazzoni,Shadow,4,0
15,Alan Jones,Williams,3,0
16,Gilles Villeneuve,Ferrari,3,0
17,Jochen Mass,ATS,0,0
18,Brett Lunger,McLaren,0,0
19,Vittorio Brambilla,Surtees,0,0
20,Jean-Pierre Jarier,ATS,0,0
21,Bruno Giacomelli,McLaren,0,0
22,Rolf Stommelen,Arrows,0,0
23,René Arnoux,Martini,0,0
24,Hector Rebaque,Team Lotus,0,0
25,Jean-Pierre Jabouille,Renault,0,0
26,Hans-Joachim Stuck,Shadow,0,0
27,Rupert Keegan,Surtees,0,0
28,Jacky Ickx,Ensign,0,0
29,Keke Rosberg,Theodore,0,0
30,Arturo Merzario,Merzario,0,0
