Position,Driver,Constructor,Points,Wins
1,Jack Brabham,Brabham-Repco,30,3
2,Graham Hill,BRM,14,0
3,Jackie Stewart,BRM,12,1
4,Lorenzo Bandini,Ferrari,11,0
5,Jochen Rindt,Cooper-Maserati,11,0
6,Denny Hulme,Brabham-Climax,10,0
7,John Surtees,Ferrari,9,1
8,Jim Clark,Lotus-Climax,7,0
9,Mike Parkes,Ferrari,6,0
10,Bob Bondurant,BRM,3,0
11,Richie Ginther,Cooper-Maserati,2,0
12,Dan Gurney,Eagle-Climax,2,0
13,Mike Spence,Lotus-BRM,2,0
14,John Taylor,Brabham-BRM,1,0
15,Bruce McLaren,McLaren-Ford,1,0
16,Jo Bonnier,Cooper-Maserati,0,0
17,Bob Anderson,Brabham-Climax,0,0
18,Chris Irwin,Brabham-Climax,0,0
19,Chris Amon,Cooper-Maserati,0,0
20,Guy Ligier,Cooper-Maserati,0,0
21,Chris Lawrence,Cooper-Ferrari,0,0
22,Jo Siffert,Brabham-BRM,0,0
23,Pedro Rodríguez,Lotus-Climax,0,0
24,Peter Arundell,Lotus-BRM,0,0
25,Vic Wilson,BRM,0,0
26,Trevor Taylor,Shannon,0,0
