Position,Driver,Constructor,Points,Wins
1,Jochen Rindt,Team Lotus,45,5
2,Jacky Ickx,Ferrari,31,2
3,Clay Regazzoni,Ferrari,27,1
4,Jackie Stewart,March,25,1
5,Jack Brabham,Brabham,25,1
6,Denny Hulme,McLaren-Ford,23,0
7,Pedro Rodríguez,BRM,22,1
8,Chris Amon,March,20,0
9,Jean-Pierre Beltoise,Matra,14,0
10,Emerson Fittipaldi,Team Lotus,12,1
11,Rolf Stommelen,Brabham,10,0
12,Henri Pescarolo,Matra,8,0
13,Graham Hill,Team Lotus,7,0
14,Bruce McLaren,McLaren-Ford,6,0
15,Mario Andretti,March,4,0
16,Reine Wisell,Team Lotus,4,0
17,Ignazio Giunti,Ferrari,3,0
18,John Surtees,McLaren-Ford,3,0
19,John Miles,Team Lotus,2,0
20,Jackie Oliver,BRM,2,0
21,Johnny Servoz-Gavin,March,2,0
22,François Cevert,March,1,0
23,Peter Gethin,McLaren-Ford,1,0
24,Dan Gurney,McLaren-Ford,1,0
25,Derek Bell,Brabham,1,0
26,Jo Siffert,March,0,0
27,Ronnie Peterson,March,0,0
28,Andrea de Adamich,McLaren-Alfa Romeo,0,0
29,John Love,Team Lotus,0,0
30,George Eaton,BRM,0,0
