Position,Driver,Constructor,Points,Wins
1,Graham Hill,BRM,19,1
2,Jim Clark,Lotus-Climax,18,2
3,Bruce McLaren,Cooper-Climax,16,1
4,Phil Hill,Ferrari,14,0
5,John Surtees,Lola,13,0
6,Dan Gurney,Porsche,9,1
7,Tony Maggs,Cooper-Climax,9,0
8,Trevor Taylor,Lotus-Climax,6,0
9,Richie Ginther,BRM,4,0
10,Lorenzo Bandini,Ferrari,4,0
11,Ricardo Rodríguez,Ferrari,3,0
12,Giancarlo Baghetti,Ferrari,3,0
13,Jack Brabham,Lotus-Climax,3,0
14,Jo Bonnier,Porsche,2,0
15,Carel Godin de Beaufort,Porsche,2,0
16,Maurice Trintignant,Lotus-Climax,0,0
17,Masten Gregory,Lotus-Climax,0,0
18,Willy Mairesse,Ferrari,0,0
19,Jackie Lewis,Cooper-Climax,0,0
20,Lucien Bianchi,Lotus-Climax,0,0
21,Jo Siffert,Lotus-Climax,0,0
22,John Campbell-Jones,Lotus-Climax,0,0
23,Tony Settember,Emeryson,0,0
24,Ian Burgess,Cooper-Climax,0,0
25,Jay Chamberlain,Lotus-Climax,0,0
26,Innes Ireland,Lotus-Climax,0,0
27,Roy Salvadori,Lola,0,0
28,Wolfgang Seidel,Emeryson,0,0
29,Peter Arundell,Team Lotus,0,0
30,Tony Marsh,BRM,0,0
