Position,Driver,Constructor,Points,Wins
1,Nigel Mansell,Williams,56,5
2,Riccardo Patrese,Williams,28,0
3,Michael Schumacher,Benetton,20,0
4,Ayrton Senna,McLaren,18,1
5,Gerhard Berger,McLaren,8,0
6,Jean Alesi,Ferrari,7,0
7,Martin Brundle,Benetton,5,0
8,Michele Alboreto,Footwork,5,0
9,Ivan Capelli,Ferrari,2,0
10,Andrea de Cesaris,Tyrrell,2,0
11,Pierluigi Martini,Dallara,2,0
12,Johnny Herbert,Team Lotus,1,0
13,Mika Häkkinen,Team Lotus,1,0
14,Bertrand Gachot,Larrousse,1,0
15,Aguri Suzuki,Footwork,0,0
16,Érik Comas,Ligier,0,0
17,Maurício Gugelmin,Jordan,0,0
18,Gianni Morbidelli,Minardi,0,0
19,Jyrki Järvilehto,Dallara,0,0
20,Christian Fittipaldi,Minardi,0,0
21,Karl Wendlinger,March,0,0
22,Olivier Grouillard,Tyrrell,0,0
23,Ukyo Katayama,Larrousse,0,0
24,Thierry Boutsen,Ligier,0,0
25,Paul Belmondo,March,0,0
26,Eric van de Poele,Brabham,0,0
