Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Ferrari,106,9
2,Juan Pablo Montoya,Williams,40,0
3,Ralf Schumacher,Williams,36,1
4,Rubens Barrichello,Ferrari,35,1
5,David Coulthard,McLaren,32,1
6,Kimi Räikkönen,McLaren,17,0
7,Jenson Button,Renault,11,0
8,Nick Heidfeld,Sauber,7,0
9,Giancarlo Fisichella,Jordan,6,0
10,Jarno Trulli,Renault,4,0
11,Felipe Massa,Sauber,4,0
12,Jacques Villeneuve,BAR,3,0
13,Eddie Irvine,Jaguar,3,0
14,Olivier Panis,BAR,2,0
15,Mark Webber,Minardi,2,0
16,Mika Salo,Toyota,2,0
17,Heinz-Harald Frentzen,Arrows,2,0
18,Allan McNish,Toyota,0,0
19,Alex Yoong,Minardi,0,0
20,Pedro de la Rosa,Jaguar,0,0
21,Takuma Sato,Jordan,0,0
22,Enrique Bernoldi,Arrows,0,0
