Position,Driver,Constructor,Points,Wins
1,Fernando Alonso,Renault,87,6
2,Kimi Räikkönen,McLaren,51,3
3,Michael Schumacher,Ferrari,47,1
4,Juan Pablo Montoya,McLaren,34,1
5,Rubens Barrichello,Ferrari,31,0
6,Jarno Trulli,Toyota,31,0
7,Giancarlo Fisichella,Renault,30,1
8,Ralf Schumacher,Toyota,26,0
9,Nick Heidfeld,Williams,25,0
10,Mark Webber,Williams,22,0
11,David Coulthard,Red Bull,19,0
12,Jenson Button,BAR,15,0
13,Felipe Massa,Sauber,8,0
14,Tiago Monteiro,Jordan,6,0
15,Alexander Wurz,McLaren,6,0
16,Jacques Villeneuve,Sauber,6,0
17,Narain Karthikeyan,Jordan,5,0
18,Christijan Albers,Minardi,4,0
19,Pedro de la Rosa,McLaren,4,0
20,Christian Klien,Red Bull,4,0
21,Patrick Friesacher,Minardi,3,0
22,Vitantonio Liuzzi,Red Bull,1,0
23,Takuma Sato,BAR,0,0
24,Robert Doornbos,Minardi,0,0
25,Ricardo Zonta,Toyota,0,0
26,Anthony Davidson,BAR,0,0
