Position,Driver,Constructor,Points,Wins
1,Jim Clark,Lotus-Climax,54,6
2,Graham Hill,BRM,40,2
3,Jackie Stewart,BRM,33,1
4,Dan Gurney,Brabham-Climax,19,0
5,John Surtees,Ferrari,17,0
6,Lorenzo Bandini,Ferrari,13,0
7,Bruce McLaren,Cooper-Climax,10,0
8,Jack Brabham,Brabham-Climax,9,0
9,Mike Spence,Lotus-Climax,6,0
10,Denny Hulme,Brabham-Climax,5,0
11,Jochen Rindt,Cooper-Climax,4,0
12,Pedro Rodríguez,Ferrari,2,0
13,Jo Siffert,Brabham-BRM,2,0
14,Richie Ginther,Honda,2,0
15,Richard Attwood,Lotus-BRM,1,0
16,Jo Bonnier,Brabham-Climax,0,0
17,Frank Gardner,Brabham-BRM,0,0
18,Masten Gregory,BRM,0,0
19,Bob Anderson,Brabham-Climax,0,0
20,Innes Ireland,Lotus-BRM,0,0
21,Paul Hawkins,Brabham-Ford,0,0
22,Bob Bondurant,Ferrari,0,0
23,Peter de Klerk,Alfa Romeo,0,0
24,Ian Raby,Brabham-BRM,0,0
25,Tony Maggs,Lotus-BRM,0,0
26,Lucien Bianchi,BRM,0,0
27,Moisés Solana,Lotus-Climax,0,0
28,Nino Vaccarella,Ferrari,0,0
29,Ronnie Bucknum,Honda,0,0
30,Roberto Bussinello,BRM,0,0
