Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,250,6
2,Nico Rosberg,Mercedes,248,7
3,Daniel Ricciardo,Red Bull,161,0
4,Sebastian Vettel,Ferrari,143,0
5,Kimi Räikkönen,Ferrari,136,0
6,Max Verstappen,Toro Rosso,121,1
7,Valtteri Bottas,Williams,70,0
8,Sergio Pérez,Force India,62,0
9,Nico Hülkenberg,Force India,46,0
10,Felipe Massa,Williams,41,0
11,Fernando Alonso,McLaren,30,0
12,Carlos Sainz,Toro Rosso,30,0
13,Romain Grosjean,Haas F1 Team,28,0
14,Daniil Kvyat,Red Bull,23,0
15,Jenson Button,McLaren,17,0
16,Kevin Magnussen,Renault,6,0
17,Pascal Wehrlein,Manor Marussia,1,0
18,Stoffel Vandoorne,McLaren,1,0
19,Esteban Gutiérrez,Haas F1 Team,0,0
20,Jolyon Palmer,Renault,0,0
21,Marcus Ericsson,Sauber,0,0
22,Felipe Nasr,Sauber,0,0
23,Rio Haryanto,Manor Marussia,0,0
24,Esteban Ocon,Manor Marussia,0,0
