Position,Driver,Constructor,Points,Wins
1,Mario Andretti,Team Lotus,64,6
2,Ronnie Peterson,Team Lotus,51,2
3,Carlos Reutemann,Ferrari,48,4
4,Niki Lauda,Brabham,44,2
5,Patrick Depailler,Tyrrell,34,1
6,John Watson,Brabham,25,0
7,Jody Scheckter,Wolf,24,0
8,Jacques Laffite,Ligier,19,0
9,Gilles Villeneuve,Ferrari,17,1
10,Emerson Fittipaldi,Fittipaldi,17,0
11,Alan Jones,Williams,11,0
12,Riccardo Patrese,Arrows,11,0
13,James Hunt,McLaren,8,0
14,Patrick Tambay,McLaren,8,0
15,Didier Pironi,Tyrrell,7,0
16,Clay Regazzoni,Shadow,4,0
17,Jean-Pierre Jabouille,Renault,3,0
18,Hans-Joachim Stuck,Shadow,2,0
19,Vittorio Brambilla,Surtees,1,0
20,Derek Daly,Hesketh,1,0
21,Hector Rebaque,Team Lotus,1,0
22,Brett Lunger,McLaren,0,0
23,Bruno Giacomelli,McLaren,0,0
24,Jochen Mass,ATS,0,0
25,Jean-Pierre Jarier,ATS,0,0
26,René Arnoux,Martini,0,0
27,Rolf Stommelen,Arrows,0,0
28,Nelson Piquet,Ensign,0,0
29,Keke Rosberg,Theodore,0,0
30,Rupert Keegan,Surtees,0,0
