Position,Driver,Constructor,Points,Wins
1,Jenson Button,Brawn,64,6
2,Rubens Barrichello,Brawn,41,0
3,Sebastian Vettel,Red Bull,39,2
4,Mark Webber,Red Bull,35.5,0
5,Jarno Trulli,Toyota,21.5,0
6,Felipe Massa,Ferrari,16,0
7,Nico Rosberg,Williams,15.5,0
8,Timo Glock,Toyota,13,0
9,Fernando Alonso,Renault,11,0
10,Kimi Räikkönen,Ferrari,10,0
11,Lewis Hamilton,McLaren,9,0
12,Nick Heidfeld,BMW Sauber,6,0
13,Heikki Kovalainen,McLaren,4,0
14,Sébastien Buemi,Toro Rosso,3,0
15,Robert Kubica,BMW Sauber,2,0
16,Sébastien Bourdais,Toro Rosso,2,0
17,Giancarlo Fisichella,Force India,0,0
18,Adrian Sutil,Force India,0,0
19,Nelson Piquet Jr.,Renault,0,0
20,Kazuki Nakajima,Williams,0,0
