Position,Driver,Constructor,Points,Wins
1,Niki Lauda,Ferrari,39,1
2,Mario Andretti,Team Lotus,32,3
3,Jody Scheckter,Wolf,32,2
4,Carlos Reutemann,Ferrari,28,1
5,James Hunt,McLaren,22,1
6,Gunnar Nilsson,Team Lotus,20,1
7,Jochen Mass,McLaren,17,0
8,Jacques Laffite,Ligier,10,1
9,Patrick Depailler,Tyrrell,10,0
10,John Watson,Brabham,9,0
11,Emerson Fittipaldi,Fittipaldi,8,0
12,Carlos Pace,Brabham,6,0
13,Ronnie Peterson,Tyrrell,4,0
14,Hans-Joachim Stuck,March,4,0
15,Vittorio Brambilla,Surtees,3,0
16,Alan Jones,Shadow,3,0
17,Clay Regazzoni,Ensign,1,0
18,Jean-Pierre Jarier,Penske,1,0
19,Renzo Zorzi,Shadow,1,0
20,Ingo Hoffmann,Fittipaldi,0,0
21,Hans Binder,Surtees,0,0
22,Harald Ertl,Hesketh,0,0
23,Riccardo Patrese,Shadow,0,0
24,Jackie Oliver,Shadow,0,0
25,Patrick Nève,March,0,0
26,Brett Lunger,March,0,0
27,Rupert Keegan,Hesketh,0,0
28,Brian Henton,March,0,0
29,Jacky Ickx,Ensign,0,0
30,Ian Scheckter,March,0,0
