Position,Driver,Constructor,Points,Wins
1,Gilles Villeneuve,Ferrari,20,2
2,Patrick Depailler,Ligier,20,1
3,Jacques Laffite,Ligier,18,2
4,Carlos Reutemann,Team Lotus,18,0
5,Jody Scheckter,Ferrari,16,0
6,Mario Andretti,Team Lotus,12,0
7,Jean-Pierre Jarier,Tyrrell,7,0
8,John Watson,McLaren,4,0
9,Alan Jones,Williams,4,0
10,Didier Pironi,Tyrrell,4,0
11,Emerson Fittipaldi,Fittipaldi,1,0
12,Niki Lauda,Brabham-Alfa Romeo,1,0
13,Elio de Angelis,Shadow,0,0
14,Jochen Mass,Arrows,0,0
15,Nelson Piquet,Brabham-Alfa Romeo,0,0
16,James Hunt,Wolf,0,0
17,Riccardo Patrese,Arrows,0,0
18,Clay Regazzoni,Williams,0,0
19,René Arnoux,Renault,0,0
20,Patrick Tambay,McLaren,0,0
21,Jean-Pierre Jabouille,Renault,0,0
22,Derek Daly,Ensign,0,0
23,Jan Lammers,Shadow,0,0
24,Hans-Joachim Stuck,ATS,0,0
25,Hector Rebaque,Team Lotus,0,0
26,Arturo Merzario,Merzario,0,0
27,Gianfranco Brancatelli,Kauhsen,0,0
