Position,Driver,Constructor,Points,Wins
1,Graham Hill,Lotus-Ford,30,2
2,Jacky Ickx,Ferrari,27,1
3,Jackie Stewart,Matra-Ford,26,2
4,Denny Hulme,McLaren-BRM,24,1
5,Pedro Rodríguez,BRM,11,0
6,Jean-Pierre Beltoise,Matra-Ford,11,0
7,Chris Amon,Ferrari,10,0
8,Jo Siffert,Cooper-Maserati,9,1
9,Bruce McLaren,McLaren-Ford,9,1
10,Jim Clark,Lotus-Ford,9,1
11,John Surtees,Honda,8,0
12,Jochen Rindt,Brabham-Repco,8,0
13,Richard Attwood,BRM,6,0
14,Johnny Servoz-Gavin,Matra-Ford,6,0
15,Ludovico Scarfiotti,Cooper-BRM,6,0
16,Lucien Bianchi,Cooper-BRM,5,0
17,Brian Redman,Cooper-Maserati,4,0
18,Piers Courage,BRM,4,0
19,Vic Elford,Cooper-BRM,3,0
20,Jackie Oliver,Lotus-Ford,2,0
21,Jack Brabham,Brabham-Repco,2,0
22,Silvio Moser,Brabham-Repco,2,0
23,Jo Bonnier,Cooper-Maserati,1,0
24,Dan Gurney,Eagle-Weslake,0,0
25,John Love,Brabham-Repco,0,0
26,Hubert Hahne,Lola,0,0
27,Kurt Ahrens,Brabham-Repco,0,0
28,David Hobbs,Honda,0,0
29,Jackie Pretorius,Brabham-Climax,0,0
30,Robin Widdows,Cooper-BRM,0,0
