Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,McLaren,76,4
2,Felipe Massa,Ferrari,74,5
3,Robert Kubica,BMW Sauber,58,1
4,Kimi Räikkönen,Ferrari,57,2
5,Nick Heidfeld,BMW Sauber,49,0
6,Heikki Kovalainen,McLaren,43,1
7,Jarno Trulli,Toyota,26,0
8,Fernando Alonso,Renault,23,0
9,Mark Webber,Red Bull,19,0
10,Timo Glock,Toyota,15,0
11,Nelson Piquet Jr.,Renault,13,0
12,Sebastian Vettel,Toro Rosso,13,0
13,Rubens Barrichello,Honda,11,0
14,Nico Rosberg,Williams,9,0
15,Kazuki Nakajima,Williams,8,0
16,David Coulthard,Red Bull,6,0
17,Sébastien Bourdais,Toro Rosso,4,0
18,Jenson Button,Honda,3,0
19,Giancarlo Fisichella,Force India,0,0
20,Adrian Sutil,Force India,0,0
21,Takuma Sato,Super Aguri,0,0
22,Anthony Davidson,Super Aguri,0,0
